,,,,,,
Country,Territory,Sites (n),Surveys (n),Datasets (n),First year,Last year
Antigua and Barbuda,Antigua and Barbuda,41,50,2,2003,2022
Aruba,Aruba,6,7,1,2003,2009
Australia,Australia,"2,614","13,11",13,1988,2025
Australia,Christmas Island,25,84,3,2003,2023
Australia,Cocos Islands,27,85,2,1997,2023
Australia,Norfolk Island,4,19,1,2020,2025
Bahamas,Bahamas,542,808,3,1986,2024
Bahrain,Bahrain,45,55,5,1985,2024
Bangladesh,Bangladesh,2,2,1,2005,2006
Barbados,Barbados,80,349,3,1982,2022
Belize,Belize,483,776,7,1985,2024
Brazil,Brazil,205,666,5,2002,2025
Brazil,Trindade,8,24,1,2009,2024
Brunei,Brunei,84,103,3,1997,2024
Cambodia,Cambodia,229,484,4,1998,2024
China,China,179,625,4,1997,2024
Colombia,Colombia,221,711,6,1997,2024
Comores,Comores,35,94,4,1999,2022
Costa Rica,Costa Rica,234,478,6,1999,2025
Cuba,Cuba,196,205,3,1999,2023
Curaçao,Curaçao,151,444,4,1973,2023
Djibouti,Djibouti,23,23,1,2005,2008
Dominica,Dominica,31,46,2,2004,2018
Dominican Republic,Dominican Republic,178,516,8,1999,2024
East Timor,East Timor,11,13,2,2004,2017
Ecuador,Ecuador,43,49,1,1999,2015
Ecuador,Galapagos,37,249,3,1994,2024
Egypt,Egypt,216,527,4,1997,2024
El Salvador,El Salvador,9,45,1,2009,2024
Eritrea,Eritrea,2,2,1,2000,2000
Federal Republic of Somalia,Federal Republic of Somalia,5,5,2,2005,2024
Fiji,Fiji,654,"1,003",12,1997,2025
France,Collectivity of Saint Martin,12,83,2,2007,2022
France,Europa Island,1,1,1,2002,2002
France,French Polynesia,229,"2,191",8,1987,2024
France,Guadeloupe,27,209,4,2002,2024
France,Martinique,42,323,3,2001,2024
France,Mayotte,39,303,2,1998,2025
France,New Caledonia,880,"4,121",9,1997,2025
France,Réunion,"4,025","4,461",3,1998,2025
France,Saint-Barthélemy,4,43,2,2002,2024
France,Wallis and Futuna,11,22,1,2019,2024
Grenada,Grenada,99,239,4,2004,2024
Guatemala,Guatemala,24,49,3,2006,2023
Haiti,Haiti,96,109,2,2003,2018
Haiti,Navassa Island,15,15,1,2012,2012
Honduras,Honduras,405,848,4,1997,2024
India,Andaman and Nicobar,29,29,1,2021,2022
India,India,117,"1,745",6,1998,2024
Indonesia,Indonesia,726,"1,32",5,1987,2024
Iran,Iran,46,71,3,1999,2024
Israel,Israel,4,4,1,1997,2001
Jamaica,Jamaica,308,794,7,1986,2024
Japan,Japan,951,"8,216",4,1983,2025
Jordan,Jordan,12,34,2,2008,2024
Kenya,Kenya,158,568,8,1987,2024
Kiribati,Gilbert Islands,18,18,2,2011,2018
Kiribati,Line Group,97,125,3,2009,2023
Kiribati,Phoenix Group,58,123,1,2009,2018
Kuwait,Kuwait,18,27,4,1987,2014
Madagascar,Madagascar,121,294,10,1998,2024
Malaysia,Malaysia,"1,351","5,711",5,1987,2024
Maldives,Maldives,444,822,6,1997,2024
Marshall Islands,Marshall Islands,147,174,3,2002,2020
Mexico,Mexico,709,"2,321",10,1997,2024
Micronesia,Federated States of Micronesia,217,555,3,2000,2020
Mozambique,Mozambique,162,376,10,1997,2024
Myanmar,Myanmar,53,62,3,1990,2025
Netherlands,Bonaire,165,640,7,1973,2025
Netherlands,Saba,30,68,3,1994,2024
Netherlands,Sint-Eustatius,37,72,3,1999,2023
New Zealand,Cook Islands,191,246,5,2005,2023
New Zealand,Niue,7,7,1,2011,2011
