TYPE,SITE_ID,SITE_PID,SITE_TYPE,NAME_ENG,NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,REALM,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,GOVSUBTYPE,OWN_TYPE,OWNSUBTYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,PRNT_ISO3,ISO3,SUPP_INFO,CONS_OBJ,INLND_WTRS,OECM_ASMT
Polygon,1,1,PA,Diamond Reef and Salt Fish Tail Reef,Diamond Reef,Marine Reserve,Marine Reserve,National,Ia,Not Applicable,Marine,14.572487,14.587807623412,14.58146682,14.587807623412,All ,14.572487,Designated,1973,Federal or national ministry or agency,Not Applicable,State,Not Applicable,Fisheries Division,Not Reported,State Verified,1807,ATG,ATG,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,2,2,PA,Palaster Reef,Palaster Reef,Marine Reserve,Marine Reserve,National,Ia,Not Applicable,Marine,3.829107,3.8330944159518,3.83167438,3.8330944159518,All ,3.829107,Designated,1973,Federal or national ministry or agency,Not Applicable,State,Not Applicable,Fisheries Division,Not Reported,State Verified,1807,ATG,ATG,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,46,46,PA,Reserva Biológica Atol Das Rocas,Reserva Biológica Atol Das Rocas,Reserva Biológica,Biological Reserve,National,Ia,Not Applicable,Marine,344.7169347,351.426644569515,351.870193,351.867660677709,Not Reported,0,Designated,1979,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Chico Mendes De Conservação Da Biodiversidade,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,78,78,PA,RMS Rhone,Wreck of the Rhone,Marine Park,Marine Park,National,II,Not Applicable,Marine,0,2.63033880451602,2.7074689065,2.69292642412929,All ,0,Designated,1980,Not Reported,Not Applicable,Non-profit organisations,Not Applicable,National Parks Trust of the Virgin Islands,Not Reported,State Verified,1907,GBR,VGB,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,121,121,PA,Archipielago Juan Fernández,Archipielago Juan Fernández,Reserva Biósfera,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Marine,0,12103.4378918554,12185.58,12207.947768608,Not Reported,0,Designated,1977,Not Reported,Not Applicable,Not Reported,Not Applicable,Corporación Nacional Forestal (CONAF),Not Reported,State Verified,1808,CHL,CHL,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,170,170,PA,Isla del Coco,Isla del Coco,Parque Nacional,National Park,National,II,Not Applicable,Marine,54830.21187,54844.0870188983,54853.52861,54844.1611814011,Not Reported,0,Designated,2022,Federal or national ministry or agency,Not Applicable,State,Not Applicable,Federal or national ministry or agency,Not Reported,State Verified,811,CRI,CRI,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,191,191,PA,Galápagos Islands,Îles Galápagos,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,"(ix);(vii);(viii);(x)",Marine,0,142036.248114823,140665.14,150029.431600656,Not Reported,0,Inscribed,1978,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,ECU,ECU,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,202,202,PA,Ocho Rios Marine Park Protected Area,Ocho Rios Marine Park Protected Area,Protected Area,Protected Area,National,Not Reported,Not Applicable,Marine,133.189449,132.827595652411,133.189449,133.179858576791,Not Reported,0,Designated,1999,Federal or national ministry or agency,Not Applicable,State,Not Applicable,National Environment & Planning Agency (NEPA),Not Reported,State Verified,909,JAM,JAM,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,203,203,PA,Montego Bay Marine Park,Montego Bay Marine Park,Marine  Park,Marine  Park,National,II,Not Applicable,Marine,14.324784,13.4676075663932,14.324784,14.3233869702673,Not Reported,0,Designated,1992,Government-delegated management,Not Applicable,State,Not Applicable,National Environment & Planning Agency (NEPA)/NGO,Not Reported,State Verified,909,JAM,JAM,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,230,230,PA,Bonaire,Bonaire,National Marine Park,National Marine Park,National,II,Not Applicable,Marine,27,32.1660485720809,27,33.2963071564057,Not Reported,0,Designated,1979,Non-profit organisations,Not Applicable,Not Reported,Not Applicable,STINAPA Bonaire,Not Reported,State Verified,1899,NLD,BES,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,613,613_2,PA,Auyuittuq National Park Of Canada,Auyuittuq National Park Of Canada,National Park,National Park,National,II,Not Applicable,Marine,846,848.325027899837,846,864.532887299482,None,0,Designated,1972,Federal or national ministry or agency,Not Applicable,State,Not Applicable,Parks Canada Agency,http://www.pc.gc.ca/,State Verified,1868,CAN,CAN,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,627,627,PA,Terra Nova Migratory Bird Sanctuary,Terra Nova Migratory Bird Sanctuary,Migratory Bird Sanctuary,Migratory Bird Sanctuary,National,II,Not Applicable,Marine,11.7838,11.1436163028984,11.7838,11.783769547642,Not Reported,0,Designated,1967,Federal or national ministry or agency,Not Applicable,State,Not Applicable,"Canadian Wildlife Service, Atlantic Region",Not Reported,State Verified,1868,CAN,CAN,Not Applicable,Not Applicable,Not Applicable,Not Applicable
